,自我介绍,人数,人员构成,城市,昵称,pep_num,pep_composition,city_name,nickname
0,老板们好！现有木工两个大班组 70多人 框架框建都可以 有意者联系电话,70.0,班组,雄安新区,先生,75,班组,,先生
1,人找活！！ 现有天津静海工地完工刚刚下来四个专业石膏冲筋师傅开始找活！技术精湛！手艺靠谱！服从管理！人品可靠！疫苗三针已打，双绿码，行程无星！有需要的老板联系张江浩 速度联系速度上人！,4.0,班组,天津,张先生,4,班组,天津市,张江浩
2,找活，，，外架搭拆，明天用人的老板提前联系了，找我，人员充足，周口，西华，商水，项城，郸城，许昌，漯河，淮阳，沈丘，扶沟，太康，方圆百里都可以去，人员年轻，干活实在，专业队伍，我专业你需要，拿起电话合作就开始了，专业架子工团队，主干，外架，内架，爬架，满堂架，人员年轻，火力强大，干活生猛，专业为各位老板排忧解难微信同号,,班组,河南省,先生,,班组,河南省,先生
3,(找活) 专业内墙打点，有需要的，老板联系我，,1.0,个人,河南省,先生,1,个人,,先生
4,专业油工找活工装，别墅，厂房，油工全活，工具齐全。微信同步 都是年轻人干活麻利,,班组,北京,先生,1,个人,,先生
5,小聂电力施工队小工找活，本队专业承接：挖沟放缆，桥架，管井，运设备，换模块，立杆，架线，配电室各种电力零活等业务，给我一份信任，换你十分满意，我们秉承诚信，高效的工作效率竭诚为你服务！小聂，现在只接北京地区,,班组,北京,聂先生,,班组,北京市,小聂
6,本人手把焊工，晚上也干活，有证，找活，二保焊，等离子切割，焊阁楼，阳光房，方管架子，护栏.彩钢棚子，也干彩钢板之类的活，暖气管道，消防管道，楼梯，小型钢结构，，可包清工，也干天工，有用人的老板，请联系我，，，，在北京,1.0,个人,北京,先生,1,个人,北京市,先生
7,找活，找活，焊钢筋笼的一个人，我广东这边，谢谢老板,1.0,个人,广东省,先生,1,个人,广东省,先生
8,【工人找活】勤劳能干，诚实靠谱。在北京承接新～旧楼外墙保温，弹涂，涂料，真石漆，颗粒找平，随时上岗，需要施工人员的老板来电非诚勿扰,1.0,个人,北京,先生,,班组,北京市,先生
9,【找活，找活，找活】小工明天找活，可协助拆卸窗户，抬大块玻璃，可干一切杂活，能开黄牌车，微信号同步,1.0,个人,山东省,先生,1,个人,,先生
10,专业外墙保温工人找活；，专业保温，涂料30多人，新楼，旧楼，保温，涂料，真石漆，大活小活全能拿下。外墙保温涂料全活，可包可点。有活的老板请联系，，微信电话☎️ 同步，注（疫情期间，因为人员比较多，出京比较麻烦，所以只限北京区域）感谢群主提供平台,30.0,班组,北京,先生,35,班组,北京市,先生
11,专业承接内 外架 搭设 拆除 爬架组装 提升 拆除，本人专业架工团队。主打突击和小活儿。郑州地区及周边,,班组,河南省,刘先生,,班组,河南省,先生
12,明天明天4人找活，人员年轻工具齐全。要求现钱电话,4.0,班组,山东省,先生,4,班组,,先生
13,小工找活，现在明天有时间，需要的老板请联微信同号，住横街子，可干一切杂活,1.0,个人,云南省,先生,1,个人,,先生
14,小工找活，现在明天有时间，需要的老板请联微信同号，住横街子，可干一切杂活,1.0,个人,北京,先生,1,个人,,先生
15,油工找活，住大兴刘村，有用人的联系我,1.0,个人,北京,先生,1,个人,北京市,先生
16,水电工，找活，工具齐全，家装，工装，可包，点工，都行，人在，北京昌平，需要用人，加微信或者，联系电话,1.0,个人,北京,先生,1,个人,北京市,先生
17,明天四五个人到十人找活。包工优先。都是老手。要求日结。,7.0,班组,河南省,先生,1010,班组,,先生
18,焊工找活:主焊管道，空调，焊接，消防，机房等。焊口补漏。 钢结构，气割、等离子，加固、等等、有需要的老板联系,1.0,个人,北京,先生,1,个人,,先生
19,专业团队60人找建筑工程设计，招投标预结算，图纸盖章，备案的活。 如有需要的老板及时联系： 陈工,60.0,班组,云南省,陈先生,60,班组,,陈工
20,找活：强电消防电人员3人，做明管，穿线，做桥架，自动报警后期调试，🉑 包🉑 卯，具体详谈，黑龙江地区均可 微信同步，多谢转发,3.0,班组,黑龙江省,先生,3,班组,黑龙江省,先生
21,水电工2人，有证，找活，工具齐全，，工装，可包，点工，都行，人在北京大兴黄村，需要用人，加微信或者，联系电话,2.0,班组,北京,先生,2,班组,北京市,先生
22,找活，我就是一个人，在工地上上班，在广东湛江打工，在工地上做小工，就是吃苦打工，上高也行，在路地上干活也行，活累点也行,,个人,湛江市,先生,1,个人,广东省,先生
23,专业外墙保温工人找活； 专业保温，涂料油工30多人 新楼，旧楼，保温，涂料，真石漆，大活小活全能拿下。外墙保温涂料全活，可包可点。有活的老板请联系，微信电话☎️ 同步，注（疫情期间，因为人员比较多，出京比较麻烦，所以只限北京区域）,30.0,班组,北京,先生,35,班组,北京市,先生
