,工种_pred,自我介绍,工种_true
0,,老板们好！现有木工两个大班组 70多人 框架框建都可以 有意者联系电话,-- || 装修木工/家具/吊顶/地板 || 建筑木工/铝模/拆模/二次结构
1,瓦工/砌砖,人找活！！ 现有天津静海工地完工刚刚下来四个专业石膏冲筋师傅开始找活！技术精湛！手艺靠谱！服从管理！人品可靠！疫苗三针已打，双绿码，行程无星！有需要的老板联系张江浩 速度联系速度上人！,-- || -- || 瓦工/泥工/抹灰/砌砖/贴砖/美缝
2,桥梁 || 隧道/涵洞 || 架子工/爬架/拆架,找活，，，外架搭拆，明天用人的老板提前联系了，找我，人员充足，周口，西华，商水，项城，郸城，许昌，漯河，淮阳，沈丘，扶沟，太康，方圆百里都可以去，人员年轻，干活实在，专业队伍，我专业你需要，拿起电话合作就开始了，专业架子工团队，主干，外架，内架，爬架，满堂架，人员年轻，火力强大，干活生猛，专业为各位老板排忧解难微信同号,-- || -- || 架子工/爬架/拆架
3,,(找活) 专业内墙打点，有需要的，老板联系我，,-- || -- || 瓦工/泥工/抹灰/砌砖/贴砖/美缝
4,油漆/涂料/腻子/大白/喷漆,专业油工找活工装，别墅，厂房，油工全活，工具齐全。微信同步 都是年轻人干活麻利,-- || -- || 油漆/涂料/腻子/大白/喷漆
5,普工 || 市政/管网 || 水电工/电工 || 污水处理 || 包装工 || 小工/杂工/拆除工/打磨/学徒 || 电工 || 道路/公路/铁路 || 学徒工,小聂电力施工队小工找活，本队专业承接：挖沟放缆，桥架，管井，运设备，换模块，立杆，架线，配电室各种电力零活等业务，给我一份信任，换你十分满意，我们秉承诚信，高效的工作效率竭诚为你服务！小聂，现在只接北京地区,-- || -- || 水电工/电工
6,空调/管道/通风/管网 || 市政/管网 || 钢结构/打板/不锈钢/抗震支架 || 水电工/电工 || 焊工/铆工/钣金/钳工 || 爆破 || 污水处理 || 弱电/消防/水暖/开槽/通风 || 道路/公路/铁路 || 焊工,本人手把焊工，晚上也干活，有证，找活，二保焊，等离子切割，焊阁楼，阳光房，方管架子，护栏.彩钢棚子，也干彩钢板之类的活，暖气管道，消防管道，楼梯，小型钢结构，，可包清工，也干天工，有用人的老板，请联系我，，，，在北京,-- || 空调/管道/通风/管网 || 焊工/铆工/钣金/钳工
7,焊工/铆工/钣金/钳工,找活，找活，焊钢筋笼的一个人，我广东这边，谢谢老板,-- || -- || 焊工/铆工/钣金/钳工
8,外墙/吊篮/保温/高空作业 || 油漆/涂料/腻子/大白/喷漆,【工人找活】勤劳能干，诚实靠谱。在北京承接新～旧楼外墙保温，弹涂，涂料，真石漆，颗粒找平，随时上岗，需要施工人员的老板来电非诚勿扰,-- || 油漆/涂料/腻子/大白/喷漆 || 外墙/吊篮/保温/高空作业
9,包装工 || 普工 || 小工/杂工/拆除工/打磨/学徒 || 学徒工,【找活，找活，找活】小工明天找活，可协助拆卸窗户，抬大块玻璃，可干一切杂活，能开黄牌车，微信号同步,-- || -- || 小工/杂工/拆除工/打磨/学徒
10,外墙/吊篮/保温/高空作业 || 油漆/涂料/腻子/大白/喷漆,专业外墙保温工人找活；，专业保温，涂料30多人，新楼，旧楼，保温，涂料，真石漆，大活小活全能拿下。外墙保温涂料全活，可包可点。有活的老板请联系，，微信电话☎️ 同步，注（疫情期间，因为人员比较多，出京比较麻烦，所以只限北京区域）感谢群主提供平台,-- || -- || 外墙/吊篮/保温/高空作业
11,桥梁 || 隧道/涵洞 || 架子工/爬架/拆架,专业承接内 外架 搭设 拆除 爬架组装 提升 拆除，本人专业架工团队。主打突击和小活儿。郑州地区及周边,-- || -- || 架子工/爬架/拆架
12,,明天明天4人找活，人员年轻工具齐全。要求现钱电话,-- || -- || 建筑木工/铝模/拆模/二次结构
13,包装工 || 普工 || 小工/杂工/拆除工/打磨/学徒 || 学徒工,小工找活，现在明天有时间，需要的老板请联微信同号，住横街子，可干一切杂活,-- || -- || 小工/杂工/拆除工/打磨/学徒
14,包装工 || 普工 || 小工/杂工/拆除工/打磨/学徒 || 学徒工,小工找活，现在明天有时间，需要的老板请联微信同号，住横街子，可干一切杂活,-- || -- || 小工/杂工/拆除工/打磨/学徒
15,油漆/涂料/腻子/大白/喷漆,油工找活，住大兴刘村，有用人的联系我,-- || -- || 油漆/涂料/腻子/大白/喷漆
16,空调/管道/通风/管网 || 水电工/电工,水电工，找活，工具齐全，家装，工装，可包，点工，都行，人在，北京昌平，需要用人，加微信或者，联系电话,-- || -- || 水电工/电工
