名称,代码,上级代码,工种类型
建筑管理/九大员,10,0,
建筑/装饰工程,11,0,
市政/园林/亮化/高压,12,0,
道路/桥梁/隧道,13,0,
桩基/加固/土石方,15,0,
机械工/司机/维修,16,0,
工厂招工,17,0,
服务业,18,0,
综合承包,19,0,
物流运输,20,0,
施工员/工长,101,10,"栋号长,工长,建造师"
质量员/检测员/检验员,102,10,"检测员,试验,建造师"
安全员,103,10,"c本,内业,外业,a本,b本"
材料员,104,10,材料员
实验员,105,10,
技术员/放线,106,10,"放线,技术员,测量员,全站仪,主测,副测"
资料员/内业,107,10,"档案员,资料员"
预算/造价,108,10,"造价员,投标员"
测量/测绘,109,10,"测量员,全站仪,主测,副测,放线"
监理,1010,10,"监理,总工,建造师"
设计师/竣工图,1011,10,"总工,装修设计师"
实习生,1012,10,"资料员,档案员"
项目经理/建造师,1013,10,"技术总工,B本,a本,总工,建造师"
库管员,1014,10,材料员
招投标人员,1015,10,"造价员,投标员"
工程师,1016,10,
全部,1016,10,
全部,1101,11,
建筑木工/铝模/拆模/二次结构,1102,11,"拆模,工地木工,建筑木工,铝模,木模,模板,浇筑,支模,支盒子,混凝土工,砼工,木匠"
装修木工/家具/吊顶/地板,1103,11,"安装墙板,不锈钢,橱柜,防腐木,防火板,防火门,隔断,吊格栅顶,吊顶,大芯板,家装木工,净化板,烤漆门,铝合金,免漆板,木地板,木匠,木龙骨,木楼梯,木门安装,木皮,平开门,三防板,硅钙板,修门,矿棉板,砂纸,集成吊顶,石膏板,石膏线,背景墙,装修木工,装饰,护墙板,油漆工,修色工,套装门,踢脚线,贴壁纸,贴地板,贴砖,全屋定制,软包,软装,衣柜,文件柜"
焊工/铆工/钣金/钳工,1104,11,"白钢,白铁,彩钢,电焊,电弧焊,钢结构,二保焊,焊工,焊楼梯,活动板房,铆工,止水钢板,碰焊工,气割,气焊,埋弧焊工,探伤,铝焊,立焊,栏杆,不锈钢扶手,做楼梯,对焊,氩弧焊,氩电焊,围挡,铁艺,焊楼梯,钣金工,铁皮,焊钢"
水电工/电工,1105,11,"ppr,变频机,布线,插座安装,穿线,灯具安装,电表,水工,电工,电路,吊洞,多联机,防雷,副测,改电,改水,给排水,管道,接线,抗震支架,临电,配管,强电,桥架,主测,卫浴安装,疏通管道"
弱电/消防/水暖/开槽/通风,1106,11,"弱电,道闸,地热,打大压,副测,改水,接线,空调,门禁,暖气,防火窗,消火栓,消防管道,网线,弱电,喷淋烟感,设备安装,主测,消防,新风"
钢筋工/绑扎/前台,1107,11,"钢筋绑扎,钢筋工,钢筋制作"
架子工/爬架/拆架,1108,11,"架子工,脚手架,爬架,挂网,支架"
