ID,父id,简称,名称,层级,拼音,长途区号,邮编,首字母,经度,纬度
900000,100000,钓鱼岛,钓鱼岛,"<span class=""text-primary"">省</span>",DiaoyuDao,,,D,123.478088,25.742385
820301,820300,圣方济各堂区,圣方济各堂区,"<span class=""text-danger"">区/县</span>",St Francis Xavier's Parish,853,999078,S,113.559954,22.123486
820300,820000,路环岛,路环岛,"<span class=""text-success"">市</span>",Coloane,853,999078,C,113.564857,22.116226
820201,820200,嘉模堂区,嘉模堂区,"<span class=""text-danger"">区/县</span>",Our Lady Of Carmel's Parish,853,999078,O,113.565303,22.149029
820200,820000,氹仔岛,氹仔岛,"<span class=""text-success"">市</span>",Taipa,853,999078,T,113.577669,22.156838
820105,820100,风顺堂区,风顺堂区,"<span class=""text-danger"">区/县</span>",Sao Lourenco,853,999078,S,113.541928,22.187368
820104,820100,望德堂区,望德堂区,"<span class=""text-danger"">区/县</span>",Sao Lazaro,853,999078,S,113.550568,22.194081
820103,820100,大堂,大堂区,"<span class=""text-danger"">区/县</span>",S?,853,999078,S,113.552971,22.188359
820102,820100,圣安多尼堂区,圣安多尼堂区,"<span class=""text-danger"">区/县</span>",Santo Antonio,853,999078,S,113.564301,22.12381
820101,820100,花地玛堂区,花地玛堂区,"<span class=""text-danger"">区/县</span>",Nossa Senhora de Fatima,853,999078,N,113.552284,22.208067
820100,820000,澳门半岛,澳门半岛,"<span class=""text-success"">市</span>",MacauPeninsula,853,999078,M,113.549134,22.198751
820000,100000,澳门,澳门,"<span class=""text-primary"">省</span>",Macau,,,M,113.54909,22.198951
810309,810300,离岛,离岛区,"<span class=""text-danger"">区/县</span>",Outlying Islands,852,999077,O,113.945842,22.281508
810308,810300,葵青,葵青区,"<span class=""text-danger"">区/县</span>",Kwai Tsing,852,999077,K,114.13932,22.363877
810307,810300,沙田,沙田区,"<span class=""text-danger"">区/县</span>",Sha Tin,852,999077,S,114.191941,22.379294
810306,810300,西贡,西贡区,"<span class=""text-danger"">区/县</span>",Sai Kung,852,999077,S,114.27854,22.37944
810305,810300,大埔,大埔区,"<span class=""text-danger"">区/县</span>",Tai Po,852,999077,T,114.171743,22.445653
810304,810300,北区,北区,"<span class=""text-danger"">区/县</span>",North District,852,999077,N,114.148959,22.494086
810303,810300,元朗,元朗区,"<span class=""text-danger"">区/县</span>",Yuen Long,852,999077,Y,114.039796,22.443342
810302,810300,屯门,屯门区,"<span class=""text-danger"">区/县</span>",Tuen Mun,852,999077,T,113.977416,22.391047
810301,810300,荃湾,荃湾区,"<span class=""text-danger"">区/县</span>",Tsuen Wan,852,999077,T,114.122952,22.370973
810300,810000,新界,新界,"<span class=""text-success"">市</span>",New Territories,852,999077,N,114.202408,22.341766
810205,810200,观塘,观塘区,"<span class=""text-danger"">区/县</span>",Kwun Tong,852,999077,K,114.231268,22.30943
810204,810200,黄大仙,黄大仙区,"<span class=""text-danger"">区/县</span>",Wong Tai Sin,852,999077,W,114.19924,22.336313
810203,810200,九龙城,九龙城区,"<span class=""text-danger"">区/县</span>",Jiulongcheng,852,999077,J,114.195053,22.32673
810202,810200,深水埗,深水埗区,"<span class=""text-danger"">区/县</span>",Sham Shui Po,852,999077,S,114.16721,22.328171
810201,810200,油尖旺,油尖旺区,"<span class=""text-danger"">区/县</span>",Yau Tsim Mong,852,999077,Y,114.173332,22.311704
810200,810000,九龙,九龙,"<span class=""text-success"">市</span>",Kowloon,852,999077,K,114.17495,22.327115
810104,810100,南区,南区,"<span class=""text-danger"">区/县</span>",Southern District,852,999077,S,114.174134,22.24676
810103,810100,东区,东区,"<span class=""text-danger"">区/县</span>",Eastern District,852,999077,E,114.255993,22.262755
810102,810100,湾仔区,湾仔区,"<span class=""text-danger"">区/县</span>",Wan Chai District,852,999077,W,114.182915,22.276389
810101,810100,中西区,中西区,"<span class=""text-danger"">区/县</span>",Central and Western District,852,999077,C,114.154374,22.281981
810100,810000,香港岛,香港岛,"<span class=""text-success"">市</span>",Hong Kong Island,852,999077,H,114.177314,22.266416
810000,100000,香港,香港,"<span class=""text-primary"">省</span>",Hong Kong,,,H,114.173355,22.320048
713804,713800,东引,东引乡,"<span class=""text-danger"">区/县</span>",Dongyin,836,212,D,120.493955,26.366164
